title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
BYD Song Plus 2025 - Brand New - Chinese Specs,90000.0,AED,2025.0,0.0,BYD,Song Plus,Other,Suv,Hybrid,Automatic,White,Other Color,4,Unknown,Unknown,5+ doors,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/byd/song-plus/2026/5/8/byd-song-plus-2025-brand-new-chinese-specs-2-831---cc8bd75e0c1d4ec2993167b89ce35818/,18,True,dubizzle,2026-05-11T12:12:16.249338,next_data,Al Bouroj Motors F.Z.E,2026-05-11T12:08:50,,,Chinese,mainstream,Mid-Range,1.0,90000.0,0.0,91,0.29,Normal
"AED 1,056 / month I Warranty Included",68900.0,AED,2024.0,50.0,Nissan,Kicks,SL,Suv,Petrol,Automatic,Grey,Brown,4,100 - 199 HP,1500 - 1999 cc,4 door,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/kicks/2025/3/18/aed-1234-month-i-warranty-included-2-123---be5d67686700439caa169b7290602ce8/,14,True,dubizzle,2026-05-11T12:12:16.249347,next_data,AUTO CENTRAL,2026-05-11T12:08:31,,,Japanese,mainstream,Mid-Range,2.0,34450.0,25.0,91,2.55,Normal
BYD Han L 200KM DM-i | Intelligent Hybrid Executive Sedan | UAE Available,118000.0,AED,2025.0,0.0,BYD,Han,Flagship Edition,Sedan,Hybrid,Automatic,Black,Orange,4,100 - 199 HP,1000 - 1499 cc,4 door,Unknown,DL,"Dubai, Jebel Ali",https://dubai.dubizzle.com/motors/used-cars/byd/han/2026/5/11/byd-han-l-200km-dm-i-intelligent-hybrid-ex-2-665---f2e537156b6a4278bcc9fe662ca6ad96/,8,True,dubizzle,2026-05-11T12:12:16.249414,next_data,Magic Bridge Auto FZE,2026-05-11T11:51:25,,,Chinese,mainstream,Mid-Range,1.0,118000.0,0.0,91,0.31,Normal
"AED 2,331 / month I Warranty Included",152000.0,AED,2024.0,50.0,Nissan,Pathfinder,SV,Suv,Petrol,Automatic,Grey,Grey,6,200 - 299 HP,3500 - 3999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/pathfinder/2025/12/10/aed-2499-month-i-warranty-included-3-052---541926713d844252943edabc8a71faf2/,13,True,dubizzle,2026-05-11T12:12:16.249272,next_data,Al Masaood Automobiles,2026-05-11T12:10:54,,,Japanese,mainstream,Premium,2.0,76000.0,25.0,91,,Normal
"AED 1,838 / month I Warranty Included",119900.0,AED,2024.0,50.0,Nissan,Xterra,Platinum,Suv,Petrol,Automatic,White,Red,4,100 - 199 HP,2500 - 2999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/xterra/2026/5/8/aed-1838-month-i-warranty-included-3-617---350672c87f6b44cb9a351499f74fa52b/,14,True,dubizzle,2026-05-11T12:12:16.249313,next_data,AUTO CENTRAL,2026-05-11T12:09:57,,,Japanese,mainstream,Mid-Range,2.0,59950.0,25.0,91,,Normal
"AED 2,668 / month I Warranty Included",174000.0,AED,2024.0,50.0,Infiniti,QX50,Autograph,Suv,Petrol,Automatic,White,White,4,200 - 299 HP,2000 - 2499 cc,4 door,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/infiniti/qx50/2025/1/23/aed-3143-month-i-warranty-included-2-623---ca83903b0d3a454dba70488a508e397f/,14,True,dubizzle,2026-05-11T12:12:16.249322,next_data,AUTO CENTRAL,2026-05-11T12:09:01,,,Japanese,premium,Premium,2.0,87000.0,25.0,91,1.4,Above Market
"Kia Sportage 1.5L Turbo, Color White, Model 2025
 WITH Panoramic Roof, 360 Camera",75500.0,AED,2025.0,0.0,Kia,Sportage,Other,Hatchback,Petrol,Automatic,White,Beige,4,100 - 199 HP,1000 - 1499 cc,4 door,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/kia/sportage/2026/2/28/kia-sportage-15l-turbo-color-white-model-2-2-547---1745bc1d99774bf18a1a69de30915ccc/,20,True,dubizzle,2026-05-11T12:12:16.249391,next_data,NAJEM MOTORS FZE,2026-05-11T12:00:11,,,Korean,mainstream,Mid-Range,1.0,75500.0,0.0,91,0.0,Normal
GCC GARGASH WARRANTY + SERVICE CONTRACT - 2024 MERCEDES BENZ GLE 450 4MATIC - NIGHT PACKAGE,395000.0,AED,2024.0,50.0,Mercedes-Benz,E-Class,GLE 450 4Matic,Suv,Petrol,Automatic,Black,Brown,6,300 - 399 HP,3000 - 3499 cc,5+ doors,GCC Spec,DL,"Dubai, Al Quoz",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gle-class/2026/4/6/gcc-gargash-warranty-service-contract-2024-2-202---dc446935111f4a3593d45e636f687396/,20,True,dubizzle,2026-05-11T12:12:16.249481,next_data,GCC Super Motors L.L.C,2026-05-11T11:11:31,,,German,luxury,Luxury,2.0,197500.0,25.0,96,,Normal
Lynk &amp; Co 900 2.0 Ultra 2025 In-stock in DUBAI,186000.0,AED,2025.0,0.0,Unknown,Unknown,2.0 Ultra,Suv,Hybrid,Automatic,Silver,Orange,4,200 - 299 HP,1500 - 1999 cc,5+ doors,Unknown,DL,"Dubai, Jebel Ali",https://dubai.dubizzle.com/motors/used-cars/lynk-co/900/2026/5/11/lynk-co-900-20-ultra-2025-in-stock-in-duba-2-752---e71b1f90118141b182d72f65e424fedb/,10,True,dubizzle,2026-05-11T12:12:16.249473,next_data,Magic Bridge Auto FZE,2026-05-11T11:17:39,,,Unknown,Unknown,Premium,1.0,186000.0,0.0,71,,Normal
"AED 2,331 / month I Warranty Included",152000.0,AED,2024.0,0.0,Nissan,Pathfinder,SV,Suv,Petrol,Automatic,White,Grey,4,200 - 299 HP,3500 - 3999 cc,5+ doors,Unknown,DS,"Abu Dhabi, Mussafah",https://abudhabi.dubizzle.com/motors/used-cars/nissan/pathfinder/2025/8/19/aed-2499-month-i-warranty-included-2-191---c0b26536544542178433f88a2297ec5d/,14,True,dubizzle,2026-05-11T12:12:16.249330,next_data,AUTO CENTRAL,2026-05-11T12:08:55,,,Japanese,mainstream,Premium,2.0,76000.0,0.0,91,,Normal
2026 Toyota Land Cruiser LC76 2.8L AT Diesel (Beige-Brown) Full Option,245000.0,AED,2026.0,0.0,Toyota,Land Cruiser 70 Series,LC 76 LX,Suv,Diesel,Automatic,Beige,Brown,4,200 - 299 HP,2500 - 2999 cc,5+ doors,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/toyota/land-cruiser-70-series/2026/4/7/2026-toyota-land-cruiser-lc76-28l-at-diese-2-606---a2e16ac8d5e248fb915354eb2a22db09/,17,True,dubizzle,2026-05-11T12:12:16.249406,next_data,CGM Motors FZE,2026-05-11T11:53:40,,,Japanese,mainstream,Premium,0.0,,,91,0.63,Normal
Toyota Hilux Single Cab Base 2026 GCC Specs,108500.0,AED,2026.0,0.0,Toyota,Hilux,Single Cab Base,Pick Up Truck,Petrol,Manual,White,Red,4,100 - 199 HP,2500 - 2999 cc,2 door,GCC Spec,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/toyota/hilux/2026/5/5/toyota-hilux-single-cab-base-2026-gcc-spec-2-824---1c0cf622f8e94fc29b3530d0d48bec42/,18,True,dubizzle,2026-05-11T12:12:16.249384,next_data,NAJEM MOTORS FZE,2026-05-11T12:00:48,,,Japanese,mainstream,Mid-Range,0.0,,,96,-0.52,Normal
2026 Toyota Land Cruiser LC76 4.0L AT Petrol With Radar-Saudi Specs,225000.0,AED,2026.0,0.0,Toyota,Land Cruiser 70 Series,LC 76 LX,Suv,Petrol,Automatic,Grey,Brown,6,200 - 299 HP,3500 - 3999 cc,5+ doors,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/toyota/land-cruiser-70-series/2026/4/22/2026-toyota-land-cruiser-lc76-40l-at-petro-2-250---ddff5eac835d4c78bd94fb633c6125ab/,20,True,dubizzle,2026-05-11T12:12:16.249354,next_data,CGM Auto FZCO,2026-05-11T12:05:46,,,Japanese,mainstream,Premium,0.0,,,91,0.0,Normal
2026 Toyota Land Cruiser 70 Series LC 76 LX - GCC Specs - Brand New!,183000.0,AED,2026.0,0.0,Toyota,Land Cruiser 70 Series,LC 76 LX,Suv,Petrol,Manual,White,Beige,6,200 - 299 HP,2500 - 2999 cc,4 door,GCC Spec,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/toyota/land-cruiser-70-series/2026/4/4/2026-toyota-land-cruiser-70-series-lc-76-l-2-431---e5a156dd46554675ad33a0f71ed3b036/,18,True,dubizzle,2026-05-11T12:12:16.249399,next_data,NAJEM MOTORS FZE,2026-05-11T11:59:07,,,Japanese,mainstream,Premium,0.0,,,96,-1.33,Below Market
2026 Lexus LX700h Signature 3.5L AT Hybrid 07 Seaters with auto parking (Black),545000.0,AED,2026.0,0.0,Lexus,LX-Series,LX 700h Signature,Suv,Hybrid,Automatic,Black,Tan,6,400 - 499 HP,3500 - 3999 cc,4 door,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/lexus/lx-series/2026/4/22/2026-lexus-lx700h-signature-35l-at-hybrid--2-644---0a78415244ad4763a103563e07bee8b2/,19,True,dubizzle,2026-05-11T12:12:16.249362,next_data,CGM Auto FZCO,2026-05-11T12:05:23,,,Japanese,premium,Ultra-Luxury,0.0,,,91,,Normal
2026 Mitsubishi L200 2.4L GLX MT Petrol,78000.0,AED,2026.0,0.0,Mitsubishi,L200,Double Cab GLX,Pick Up Truck,Petrol,Manual,White,Grey,4,100 - 199 HP,2000 - 2499 cc,4 door,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/mitsubishi/l200/2026/5/5/2026-mitsubishi-l200-24l-glx-mt-petrol-2-880---1386cab208a346ea8ed4236e8bd6f419/,14,True,dubizzle,2026-05-11T12:12:16.249376,next_data,CGM Auto FZCO,2026-05-11T12:01:08,,,Japanese,mainstream,Mid-Range,0.0,,,91,0.0,Normal
Mercedes-Benz GLE 53 4MATIC+ Coupe 2026 - Korean Specs - GCC Stock,530000.0,AED,2026.0,0.0,Mercedes-Benz,GLE Coupe,GLE 53 4MATIC+,Suv,Petrol,Automatic,Grey,Red,6,400 - 499 HP,3000 - 3499 cc,5+ doors,GCC Spec,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2026/5/1/mercedes-benz-gle-53-4matic-coupe-2026-kor-2-450---697bb31957c74b499431394d157d064f/,19,True,dubizzle,2026-05-11T12:12:16.249421,next_data,P 2 P Motors L.L.C,2026-05-11T11:51:04,,,German,luxury,Ultra-Luxury,0.0,,,96,,Normal
Mercedes-Benz G-Class G 63 AMG 2026 - Korean Specs - Brand New,850000.0,AED,2026.0,0.0,Mercedes-Benz,G-Class,G 63 AMG,Suv,Petrol,Automatic,White,Brown,8,500 - 599 HP,4000+ cc,5+ doors,Korean Spec,DL,"Dubai, Al Quoz",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/g-class/2026/3/24/mercedes-benz-g-class-g-63-amg-2026-korean-2-876---b62bd0bfd3804a6abf0d4a0e7ed1b9dd/,15,True,dubizzle,2026-05-11T12:12:16.249436,next_data,Auto AGT Motors,2026-05-11T11:44:20,,,German,luxury,Ultra-Luxury,0.0,,,96,,Normal
Rox Adamas First-Class 2026 - VIP 6 SEATS,240000.0,AED,2026.0,0.0,Unknown,Unknown,First-Class,Suv,Hybrid,Automatic,Gold,Beige,4,400 - 499 HP,1500 - 1999 cc,4 door,Unknown,DL,"Dubai, Ras Al Khor",https://dubai.dubizzle.com/motors/used-cars/rox/adamas/2026/5/9/rox-adamas-first-class-2026-vip-6-seats-2-970---cb829544e70c4c648d009e135945d4fd/,15,True,dubizzle,2026-05-11T12:12:16.249443,next_data,Outlet Motors FZE,2026-05-11T11:33:44,,,Unknown,Unknown,Premium,0.0,,,71,,Normal
New Fiat Ducato 2024,91500.0,AED,2024.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-fiat-ducato-22-diesel-age-54-meter-length-2024-my-929238.html,18,,dubicars,2026-04-28T13:43:05.608827,dom,,,True,929238.0,Unknown,Unknown,Mid-Range,2.0,45750.0,0.0,58,,Normal
New Fiat Ducato 2024,95000.0,AED,2024.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-fiat-ducato-22-diesel-bge-6-meter-length-2024-my-928930.html,17,,dubicars,2026-04-28T13:43:05.608982,dom,,,True,928930.0,Unknown,Unknown,Mid-Range,2.0,47500.0,0.0,58,,Normal
New Isuzu NPR 2024,92500.0,AED,2024.0,0.0,Unknown,Unknown,,Pickup,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-isuzu-npr-al-isuzu-npr71-truck-46l-chassis-65t-mt-dsl-2024-export-955684.html,8,,dubicars,2026-04-28T13:43:28.496127,dom,,,True,955684.0,Unknown,Unknown,Mid-Range,2.0,46250.0,0.0,63,,Normal
New Xiaomi YU7 2025,205000.0,AED,2025.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-xiaomi-yu7-963534.html,9,,dubicars,2026-04-28T13:43:54.413410,dom,,,True,963534.0,Unknown,Unknown,Premium,1.0,205000.0,0.0,58,,Normal
New Harley-Davidson Trike 2024,119500.0,AED,2024.0,12.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-harley-davidson-trike-956514.html,15,,dubicars,2026-04-28T13:45:27.672210,dom,,,True,956514.0,Unknown,Unknown,Mid-Range,2.0,59750.0,6.0,58,,Normal
New Xiaomi YU7 2025,199000.0,AED,2025.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-xiaomi-yu7-963731.html,18,,dubicars,2026-04-28T13:46:23.737460,dom,,,True,963731.0,Unknown,Unknown,Premium,1.0,199000.0,0.0,58,,Normal
New Xiaomi YU7 2025,225000.0,AED,2025.0,0.0,Unknown,Unknown,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-xiaomi-yu7-max-performance-high-performance-electric-suv-969265.html,16,,dubicars,2026-04-28T13:47:00.925957,dom,,,True,969265.0,Unknown,Unknown,Premium,1.0,225000.0,0.0,63,,Normal
New Voyah Free 2022,102000.0,AED,2022.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2022-voyah-free-oyah-2022-15l-hybrid-brand-new-full-option-891779.html,21,,dubicars,2026-04-28T13:47:40.874543,dom,,,True,891779.0,Unknown,Unknown,Mid-Range,4.0,25500.0,0.0,58,,Normal
New Hummer H2 2024,460000.0,AED,2024.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-hummer-h2-3x-850hp-902716.html,18,,dubicars,2026-04-28T13:47:58.969067,dom,,,True,902716.0,Unknown,Unknown,Luxury,2.0,230000.0,0.0,58,,Normal
New HONGQI EHS9 2023,189000.0,AED,2023.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2023-hongqi-ehs9-brand-new-top-range-960799.html,18,,dubicars,2026-04-28T13:48:26.756611,dom,,,True,960799.0,Unknown,Unknown,Premium,3.0,63000.0,0.0,58,,Normal
New Foton View 2025,56000.0,AED,2025.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-foton-view-foton-view-jiangtianpai-25l-dsl-15-str-924526.html,14,,dubicars,2026-04-28T13:48:26.760121,dom,,,True,924526.0,Unknown,Unknown,Economy,1.0,56000.0,0.0,58,,Normal
New Isuzu NPR 2025,102000.0,AED,2025.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-isuzu-npr-isuzu-reward-npr-2025-940437.html,29,,dubicars,2026-04-28T13:48:47.411277,dom,,,True,940437.0,Unknown,Unknown,Mid-Range,1.0,102000.0,0.0,58,,Normal
New Xiaomi SU7 2024,169999.0,AED,2024.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-xiaomi-su7-rwd-xiaomi-su7-pro-2024-926437.html,16,,dubicars,2026-04-28T13:48:47.415179,dom,,,True,926437.0,Unknown,Unknown,Premium,2.0,84999.5,0.0,58,,Normal
New JMC Frigo 2025,135000.0,AED,2025.0,0.0,Unknown,Unknown,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-jmc-frigo-920958.html,20,,dubicars,2026-04-28T13:49:24.961203,dom,,,True,920958.0,Unknown,Unknown,Premium,1.0,135000.0,0.0,58,,Normal
New GAC GS8 2025,122000.0,AED,2025.0,0.0,GAC,GS8,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2025-gac-gs8-20t-gx-4wd-gac-gs8-gx-4wd-brand-new-gcc-specs-gargash-car-with-5-years-warranty-or-150000kms-843480.html,18,,dubicars,2026-04-28T13:37:30.486902,dom,,,True,843480.0,Chinese,budget,Premium,1.0,122000.0,0.0,83,,Normal
New Renault Megane 2024,59000.0,AED,2024.0,50.0,Renault,Megane,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-renault-megane-pe-16l-pe-16-879174.html,14,,dubicars,2026-04-28T14:08:55.854676,dom,,,True,879174.0,French,budget,Economy,2.0,29500.0,25.0,78,0.0,Normal
New Renault Arkana 2025,84999.0,AED,2025.0,0.0,Renault,Arkana,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2025-renault-arkana-esprit-alpine-2025-gcc-0km-with-3-years-or-60000-km-warranty-official-dealer-924145.html,29,,dubicars,2026-04-28T14:59:47.552602,dom,,,True,924145.0,French,budget,Mid-Range,1.0,84999.0,0.0,83,,Normal
New Renault Express 2024,44900.0,AED,2024.0,10.0,Renault,Express,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-renault-express-15l-diesel-2024-953787.html,11,,dubicars,2026-04-28T15:03:05.943344,dom,,,True,953787.0,French,budget,Economy,2.0,22450.0,5.0,78,,Normal
New Renault Koleos 2025,66699.0,AED,2025.0,46.0,Renault,Koleos,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-renault-koleos-pe-25l-fwd-pe-guaranteed-warranty-0-down-payment-969327.html,27,,dubicars,2026-04-28T15:07:13.841352,dom,,,True,969327.0,French,budget,Mid-Range,1.0,66699.0,46.0,78,,Normal
New Renault Duster 2025,49800.0,AED,2025.0,0.0,Renault,Duster,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2025-renault-duster-le-16l-2025-16l-petrol-gcc-specs-cvt-17-alloys-4-airbags-7-screen-apple-carplay-951513.html,30,,dubicars,2026-04-28T15:13:01.231901,dom,,,True,951513.0,French,budget,Economy,1.0,49800.0,0.0,83,-0.55,Normal
New Renault Megane 2024,44199.0,AED,2024.0,94.0,Renault,Megane,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-renault-megane-se-16l-se-guaranteed-warranty-0-down-payment-930926.html,29,,dubicars,2026-04-28T15:18:42.802784,dom,,,True,930926.0,French,budget,Economy,2.0,22099.5,47.0,78,-1.44,Below Market
New Renault Duster 2025,53000.0,AED,2025.0,0.0,Renault,Duster,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-renault-duster-le-16l-935184.html,23,,dubicars,2026-04-28T15:25:08.499789,dom,,,True,935184.0,French,budget,Economy,1.0,53000.0,0.0,78,0.17,Normal
New Nissan XTrail 2024,75000.0,AED,2024.0,0.0,Nissan,X-Trail,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-nissan-xtrail-s-25l-169-hp-fwd-5-seater-941192.html,12,,dubicars,2026-04-28T13:32:12.320157,dom,,,True,941192.0,Japanese,mainstream,Mid-Range,2.0,37500.0,0.0,83,,Normal
New Nissan Navara 2025,73800.0,AED,2025.0,0.0,Nissan,Navara,,Pickup,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-navara-le-petrol-25l-4x4-mt-dc-plus-my2025-incomparable-prices-book-now-910854.html,28,,dubicars,2026-04-28T13:32:12.321121,dom,,,True,910854.0,Japanese,mainstream,Mid-Range,1.0,73800.0,0.0,83,-1.55,Below Market
New Nissan Navara 2025,103800.0,AED,2025.0,0.0,Nissan,Navara,,Pickup,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-navara-2025-pro-4x-25l-diesel-automatic-4x4-best-price-guaranteed-952485.html,30,,dubicars,2026-04-28T13:32:12.321754,dom,,,True,952485.0,Japanese,mainstream,Mid-Range,1.0,103800.0,0.0,83,0.37,Normal
New Nissan Patrol 2024,230000.0,AED,2024.0,0.0,Nissan,Patrol,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-nissan-patrol-le-t2-56l-912724.html,24,,dubicars,2026-04-28T13:36:01.060529,dom,,,True,912724.0,Japanese,mainstream,Premium,2.0,115000.0,0.0,83,-0.81,Normal
New Nissan Patrol Safari 2024,220000.0,AED,2024.0,0.0,Nissan,Patrol Safari,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-nissan-patrol-safari-nissan-patrol-safari-al-ostoura-edition-48l-gasoline-engine-7-seater-884103.html,7,,dubicars,2026-04-28T13:49:24.960951,dom,,,True,884103.0,Japanese,mainstream,Premium,2.0,110000.0,0.0,78,-0.09,Normal
New Nissan XTerra 2023,99000.0,AED,2023.0,0.0,Nissan,XTerra,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2023-nissan-xterra-se-7-seats-25l-petrol-v4-leather-seats-push-start-4wd-code-69096-972937.html,13,,dubicars,2026-04-28T13:52:31.135108,dom,,,True,972937.0,Japanese,mainstream,Mid-Range,3.0,33000.0,0.0,78,0.36,Normal
New Nissan Navara 2025,93000.0,AED,2025.0,0.0,Nissan,Navara,,Pickup,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-navara-nissan-navara-manual-transmission-4x4-949018.html,21,,dubicars,2026-04-28T13:52:45.888628,dom,,,True,949018.0,Japanese,mainstream,Mid-Range,1.0,93000.0,0.0,83,-0.32,Normal
New Nissan United Diesel 2024,360000.0,AED,2024.0,0.0,Nissan,United Diesel,,Unknown,Diesel,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-nissan-united-diesel-881936.html,4,,dubicars,2026-04-28T13:53:05.468313,dom,,,True,881936.0,Japanese,mainstream,Luxury,2.0,180000.0,0.0,78,,Normal
New Nissan Patrol 2024,279000.0,AED,2024.0,0.0,Nissan,Patrol,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-nissan-patrol-le-t2-56l-949638.html,11,,dubicars,2026-04-28T13:53:05.468542,dom,,,True,949638.0,Japanese,mainstream,Luxury,2.0,139500.0,0.0,83,0.18,Normal
New Nissan Navara 2025,105000.0,AED,2025.0,0.0,Nissan,Navara,,Pickup,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-navara-nissan-navara-25l-diesel-pro4x-4x4-tecno-gray-dc-at-my-2025-brand-new-available-colourstecno-gra-876788.html,20,,dubicars,2026-04-28T13:37:43.301430,dom,,,True,876788.0,Japanese,mainstream,Mid-Range,1.0,105000.0,0.0,83,0.45,Normal
New Nissan N6 2025,64000.0,AED,2025.0,0.0,Nissan,N6,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-n6-180-pro-2025-958766.html,20,,dubicars,2026-04-28T13:38:38.239399,dom,,,True,958766.0,Japanese,mainstream,Mid-Range,1.0,64000.0,0.0,78,,Normal
New Nissan Sylphy 2025,39000.0,AED,2025.0,0.0,Nissan,Sylphy,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-sylphy-nissan-sylphy-2025-fwd-16l-942465.html,18,,dubicars,2026-04-28T13:38:38.240783,dom,,,True,942465.0,Japanese,mainstream,Economy,1.0,39000.0,0.0,78,0.43,Normal
New Nissan Magnite 2025,48000.0,AED,2025.0,0.0,Nissan,Magnite,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-nissan-magnite-s-893519.html,18,,dubicars,2026-04-28T13:42:22.959054,dom,,,True,893519.0,Japanese,mainstream,Economy,1.0,48000.0,0.0,78,-0.31,Normal
New Nissan XTerra 2023,95000.0,AED,2023.0,0.0,Nissan,XTerra,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2023-nissan-xterra-nissan-x-terra-4wd-se-25l-v4-7seats-at-2023-531416.html,16,,dubicars,2026-04-28T13:43:05.611239,dom,,,True,531416.0,Japanese,mainstream,Mid-Range,3.0,31666.666666666668,0.0,78,-0.22,Normal
New Nissan Altima 2023,120000.0,AED,2023.0,50.0,Nissan,Altima,,Sedan,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2023-nissan-altima-sl-25l-sl-20-880487.html,15,,dubicars,2026-04-28T13:43:54.415574,dom,,,True,880487.0,Japanese,mainstream,Mid-Range,3.0,40000.0,16.666666666666668,83,,Normal
New Renault Arkana 2025,80999.0,AED,2025.0,0.0,Renault,Arkana,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2025-renault-arkana-for-export-na-eksport-esprit-alpine-2025-gcc-bez-probega-927914.html,28,,dubicars,2026-04-28T13:53:37.452662,dom,,,True,927914.0,French,budget,Mid-Range,1.0,80999.0,0.0,83,,Normal
New Jeep Wrangler 2024,222000.0,AED,2024.0,0.0,Jeep,Wrangler,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2024-jeep-wrangler-rubicon-36l-at-5-seater-957930.html,12,,dubicars,2026-04-28T15:31:37.348355,dom,,,True,957930.0,American,mainstream,Premium,2.0,111000.0,0.0,83,-1.96,Below Market
New Jeep Wrangler 2025,169000.0,AED,2025.0,0.0,Jeep,Wrangler,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2025-jeep-wrangler-unlimited-sport-s-20l-at-855127.html,12,,dubicars,2026-04-28T15:38:23.219299,dom,,,True,855127.0,American,mainstream,Premium,1.0,169000.0,0.0,83,-0.48,Below Market
