title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
New Rolls-Royce Spectre 2026,2225000.0,AED,2026.0,22.0,Rolls-Royce,Spectre,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-rolls-royce-spectre-black-badge-2026-gcc-under-warranty-and-service-contract-957097.html,20,,dubicars,2026-04-28T15:13:18.304105,dom,,,True,957097.0,British,exotic,Exotic,0.0,,,83,,Normal
New Mercedes-Benz GLC 200 2026,279000.0,AED,2026.0,0.0,Mercedes-Benz,GLC 200,,Coupe,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-glc-200-arrival-200-coupe-gcc-km-agency-warranty-amg-package-950498.html,20,,dubicars,2026-04-28T13:44:20.524612,dom,,,True,950498.0,German,luxury,Luxury,0.0,,,88,-0.77,Normal
New Mercedes-Benz V 300 2026,329000.0,AED,2026.0,0.0,Mercedes-Benz,V 300,,Van/MPV,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-v-300-mercede-benz-v-300-avantgarde-gcc-0km-agency-warranty-360-view-64-colors-ambeint-lights-950504.html,20,,dubicars,2026-04-28T13:44:20.524278,dom,,,True,950504.0,German,luxury,Luxury,0.0,,,88,-1.48,Potential Deal 🔥
New Mercedes-Benz E300 2026,325000.0,AED,2026.0,0.0,Mercedes-Benz,E300,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-e300-amg-under-warranty-2026-gcc-917860.html,15,,dubicars,2026-04-28T13:39:15.915270,dom,,,True,917860.0,German,luxury,Luxury,0.0,,,83,0.04,Normal
New Mercedes-Benz E300 2026,274000.0,AED,2026.0,0.0,Mercedes-Benz,E300,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-e300-e-300-amg-line-2026-948825.html,20,,dubicars,2026-04-28T13:39:00.322826,dom,,,True,948825.0,German,luxury,Luxury,0.0,,,78,-2.07,Below Market
New BRABUS 800 - Mercedes-AMG G 63 2026,1452392.0,AED,2026.0,0.0,Mercedes-Benz,800 - Mercedes-AMG G 63,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-brabus-800-mercedes-amg-g-63-other-955738.html,30,,dubicars,2026-04-28T13:38:38.238789,dom,,,True,955738.0,German,luxury,Ultra-Luxury,0.0,,,78,,Normal
New Mercedes-Benz CLA 200 2026,172000.0,AED,2026.0,0.0,Mercedes-Benz,CLA 200,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-cla-200-2026-gcc-full-options-amg-package-agency-warranty-930582.html,18,,dubicars,2026-04-28T13:42:22.961768,dom,,,True,930582.0,German,luxury,Premium,0.0,,,83,-0.68,Normal
New Mercedes-Benz GLE 450 2026,389000.0,AED,2026.0,0.0,Mercedes-Benz,GLE 450,,SUV,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-gle-450-gle-450-suv-gcc-0km-agency-warranty-amg-package-950926.html,20,,dubicars,2026-04-28T13:42:00.831542,dom,,,True,950926.0,German,luxury,Luxury,0.0,,,88,,Normal
New Mercedes-Benz GLE 450 Coupe 2026,409000.0,AED,2026.0,0.0,Mercedes-Benz,GLE 450 Coupe,,Coupe,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-gle-450-coupe-gle-450-coupe-dark-series-gcc-0km-agency-warranty-950939.html,20,,dubicars,2026-04-28T13:42:00.831419,dom,,,True,950939.0,German,luxury,Luxury,0.0,,,88,1.25,Normal
New Mercedes-Benz E200 2026,242000.0,AED,2026.0,0.0,Mercedes-Benz,E200,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-e200-943529.html,10,,dubicars,2026-04-28T13:42:00.829364,dom,,,True,943529.0,German,luxury,Premium,0.0,,,78,-0.93,Normal
